NRGSTREAM Multiple Streams Extract as of: 17-Jul-2018 08:36:58 Static Extraction Range from  01-Jun-2007 00:00:00 to 01-Jul-2018 00:00:00,,,,,,,
PJM - DA Operating Reserve Rate,,,,,,,
PJM - East Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - East Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - RTO Bal Operating Reserve for Reliability RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Deviations RT Rate,,,,,,,
PJM - West Bal Operating Reserve for Reliability RT Rate,,,,,,,
,,,,,,,
Number of records returned has been adjusted based on user settings or available data.,,,,,,,
,,,,,,,
Effective Date,PJM - DA Operating Reserve Rate Price USD/MWh,PJM - East Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - East Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - RTO Bal Operating Reserve for Reliability RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Deviations RT Rate Price USD/MWh,PJM - West Bal Operating Reserve for Reliability RT Rate Price USD/MWh
6/12/2013 0:00,0.110648,0.215928,0.034052,2.943763,0.025388,0,0
6/13/2013 0:00,0.167517,0,0,0.470686,0.08098,0.005077,0
6/14/2013 0:00,0.097874,0,0,0.661556,0.102685,0,0
6/15/2013 0:00,0.098638,0,0,0.186306,0.001052,0,0
6/16/2013 0:00,0.057365,0,0,0.862286,0.001224,0,0
6/17/2013 0:00,0.031695,0.092078,0,1.844068,0.003768,0,0
6/18/2013 0:00,0.098095,0.115347,0,0.484153,0.061643,0,0.069983
6/19/2013 0:00,0.09066,0.150338,0.001219,0.678571,0.002103,0,0
6/20/2013 0:00,0.065242,0.135451,0,1.259412,0.034107,0.396716,0
6/21/2013 0:00,0.035856,0.186199,0,0.862167,0.000737,0,0
6/22/2013 0:00,0.05279,0,0,0.686687,0.021666,0,0
6/23/2013 0:00,0.038442,0,0,1.278386,0.007094,0,0
6/24/2013 0:00,0.095668,0,0,2.354879,0.016073,0.153653,0
6/25/2013 0:00,0.027514,0.208193,0.023897,1.925712,0.377836,0.755878,0
6/26/2013 0:00,0.144044,0.050973,0,0.656665,0.045364,0.436017,0
6/27/2013 0:00,0.059862,0.358483,0,1.863403,0.018297,0.074695,0.003944
6/28/2013 0:00,0.048691,1.267203,0,1.635742,0.007113,0,0
6/29/2013 0:00,0.104072,0.056446,0,2.713906,0.01236,0.045502,0.011474
6/30/2013 0:00,0.045308,0,0,1.442309,0.001774,0,0
7/1/2013 0:00,0.04386,1.566157,0,0.807087,0.041841,0,0
7/2/2013 0:00,0.017573,1.190705,0,2.483299,0.004501,0,0
7/3/2013 0:00,0.007348,1.060748,0.001473,2.735098,0.004196,0,0
7/4/2013 0:00,0.077444,1.755076,0,1.791864,0.006707,0,0
7/5/2013 0:00,0.04298,1.469831,0.001092,2.34224,0.026936,0,0
7/6/2013 0:00,0.176539,0.347024,0,3.842355,0.021674,0,0
7/7/2013 0:00,0.118881,0,0.138206,0.682049,0.118934,0,0
7/8/2013 0:00,0.039499,0.120136,0,2.326443,0.006281,0.000178,0
7/9/2013 0:00,0.06978,0,0,2.874858,0.048715,1.326865,0
7/10/2013 0:00,0.063355,0,0,1.733222,0.044483,0.887315,0.037387
7/11/2013 0:00,0.068656,0,0,1.068036,0.126626,0,0.021144
7/12/2013 0:00,0.081906,0,0,1.223647,0.05851,0,0
7/13/2013 0:00,0.115002,0.001703,0,0.869982,0.007281,0,0
7/14/2013 0:00,0.098552,0.452674,0,1.828148,0.002247,0,0
7/15/2013 0:00,0.088438,0.409278,0.025628,11.118619,0.229737,0.477507,0.010942
7/16/2013 0:00,0.597598,0.553614,0.146514,6.340233,0.086708,0.375587,0
7/17/2013 0:00,0.194331,0.135711,0.005662,5.680273,0.076716,0.350255,0
7/18/2013 0:00,0.207916,0.435849,0.013992,8.627118,0.235734,0.514083,0
7/19/2013 0:00,0.267125,0.773177,0.449794,5.350708,0.445992,0.95637,0.004197
7/20/2013 0:00,0.117453,1.132304,0,1.204507,0.088484,0.00951,0
7/21/2013 0:00,0.060689,0.226975,0.021969,0.944726,0.004636,0,0
7/22/2013 0:00,0.058977,0.09551,0,1.377479,0.030493,0.625978,0
7/23/2013 0:00,0.048671,0.098906,0.001022,1.38792,0.012032,0.061741,0
7/24/2013 0:00,0.074863,0.083388,0,1.290584,0.020964,0,0
7/25/2013 0:00,0.034861,0,0,0.38057,0.16172,0,0
7/26/2013 0:00,0.049863,0,0.001647,2.278961,0.010662,0,0
7/27/2013 0:00,0.052738,0,0,0.92013,0.002417,0,0
7/28/2013 0:00,0.048925,0,0.000944,1.094048,0.00453,0,0
7/29/2013 0:00,0.025705,0.00005,0,0.921195,0.007697,0,0
7/30/2013 0:00,0.004924,0,0,0.445542,0.111239,0,0
7/31/2013 0:00,0.008307,0,0,0.48825,0.00625,0,0
8/1/2013 0:00,0.018454,0.23802,0.001976,0.598048,0.002148,0,0
8/2/2013 0:00,0.035043,0.025425,0.005917,2.918838,0.003839,0,0
8/3/2013 0:00,0.048912,0,0,0.131344,0.027812,0,0
8/4/2013 0:00,0.089144,0,0,0.214391,0.026507,0,0.052499
8/5/2013 0:00,0.074582,0,0,0.343517,0.027602,0,0
8/6/2013 0:00,0.03831,0,0,0.523483,0.002711,0,0
8/7/2013 0:00,0.022411,0,0,0.954808,0.015378,1.017874,0
8/8/2013 0:00,0.026541,0.136013,0,2.134741,0.032798,0,0.006316
8/9/2013 0:00,0.011917,0.001742,0,1.49479,0.018635,0,0
8/10/2013 0:00,0.00226,0,0,0.53804,0.030444,0,0
8/11/2013 0:00,0.06287,0,0,0.056548,0.002423,0,0
8/12/2013 0:00,0.036405,0,0,1.264613,0.003132,0,0
8/13/2013 0:00,0.052227,0.142599,0.011749,1.324616,0.018099,0.007771,0
8/14/2013 0:00,0.05226,0,0,0.095083,0.062366,0,0
8/15/2013 0:00,0.080785,0,0,0.358346,0.073375,0,0
8/16/2013 0:00,0.078348,0.120923,0,1.291607,0.000857,0,0
8/17/2013 0:00,0.095531,0.147262,0,0.720609,0.087029,0,0
8/18/2013 0:00,0.102525,0.168573,0,0.820304,0.076015,0,0
8/19/2013 0:00,0.029255,0.077018,0,1.975607,0.011697,0.03315,0
8/20/2013 0:00,0.024489,0.136099,0,1.118499,0.009157,0.500947,0
8/21/2013 0:00,0.057435,0.125943,0,1.568288,0.020396,0.122262,0
8/22/2013 0:00,0.053601,0.13387,0,0.448801,0.013771,0,0
8/23/2013 0:00,0.090207,0.141239,0,0.250121,0.111484,0,0
8/24/2013 0:00,0.124739,0.308819,0,0.991305,0.031171,0,0
8/25/2013 0:00,0.121191,0.330964,0,1.147129,0.005153,0.224586,0.041329
8/26/2013 0:00,0.049382,0.254663,0,1.24521,0.026813,0.28245,0
8/27/2013 0:00,0.049114,0.150666,0,1.767038,0.060676,0.155977,0.016203
8/28/2013 0:00,0.065464,0.110713,0,0.729139,0.036134,0.105595,0
8/29/2013 0:00,0.045615,0.153347,0,1.774279,0.011316,0.243487,0
8/30/2013 0:00,0.054255,0.160514,0,1.510147,0.014269,0.213535,0.000586
8/31/2013 0:00,0.074855,0.668744,0,0.940178,0.001871,0,0
9/1/2013 0:00,0.072466,0.278015,0.000541,1.227058,0.006454,0,0
9/2/2013 0:00,0.086266,0.339292,0,1.086482,0.002349,0,0
9/3/2013 0:00,0.100946,0.085464,0,3.154819,0.032671,0,0
9/4/2013 0:00,0.163842,0.155934,0,1.535239,0.009109,0,0
9/5/2013 0:00,0.14287,0.142135,0.013616,1.388345,0.002313,0,0
9/6/2013 0:00,0.084591,0.278746,0.034566,2.20891,0.00644,0,0
9/7/2013 0:00,0.062921,0.609319,0.013629,1.04602,0.075486,0.077534,0
9/8/2013 0:00,0.074885,0.772726,0,4.767507,0.014915,0,0
